id,x,y,z
1,250.1,180.2,310.5
2,251.2,179.8,311.8
3,249.8,180.9,309.8
4,252.1,179.1,312.5
5,250.9,180.4,310.9
6,251.5,179.6,311.3
7,249.3,181.5,309.1
8,252.3,178.7,313.0
9,250.4,180.3,310.5
10,252.0,179.3,312.2
11,251.1,179.9,311.0
12,250.6,180.5,310.6
13,251.8,179.4,311.8
14,250.2,180.8,309.9
15,251.3,179.7,311.4
16,250.7,180.2,310.7
17,251.9,179.1,312.1
18,250.5,180.7,310.3
19,251.6,179.5,311.5
20,250.8,180.1,310.5
21,200.1,200.1,200.1
22,251.0,179.8,311.1
23,250.9,180.6,310.8
24,251.7,179.2,311.9
25,250.3,181.0,309.8
26,251.4,179.8,311.3
27,210.2,220.5,250.9
28,250.6,180.1,310.6
29,251.2,179.7,311.4
30,250.5,180.7,310.2
31,251.9,178.9,312.3
32,250.7,180.1,310.8
33,251.1,179.9,311.0
34,250.8,180.3,310.6
35,252.2,178.8,312.6
36,250.4,181.1,310.0
37,251.5,179.6,311.6
38,250.6,180.2,310.5
39,251.8,179.3,312.0
40,250.2,181.1,309.9
41,251.6,179.4,311.5
42,250.9,180.5,310.7
43,251.0,179.9,311.1
44,250.7,180.1,310.6
45,252.1,179.0,312.4
46,250.3,180.9,310.2
47,251.4,179.7,311.4
48,250.8,180.1,310.7
49,251.7,179.2,311.8
50,290.5,160.2,380.1
