id,x,y,z
1,100.5,200.2,50.1
2,101.2,199.8,51.5
3,99.8,201.1,49.9
4,102.1,198.5,52.3
5,100.9,200.6,50.8
6,101.5,199.2,51.2
7,99.3,202.0,49.2
8,102.3,197.9,52.8
9,100.4,200.3,50.3
10,102.0,198.1,52.1
11,101.1,199.9,51.0
12,100.6,200.5,50.5
13,101.8,199.0,51.8
14,100.2,201.2,49.8
15,101.3,199.5,51.3
16,100.7,200.2,50.6
17,101.9,198.3,52.0
18,100.5,200.8,50.1
19,101.6,199.1,51.5
20,100.8,200.0,50.4
21,150.2,150.1,100.5
22,101.0,199.7,51.1
23,100.9,200.4,50.7
24,101.7,199.2,51.9
25,100.3,201.0,49.9
26,101.4,199.6,51.4
27,50.1,250.8,25.2
28,100.6,200.1,50.5
29,101.2,199.4,51.3
30,100.5,200.6,50.2
31,101.9,198.4,52.2
32,100.7,200.1,50.6
33,101.1,199.8,51.1
34,100.8,200.3,50.5
35,102.2,197.8,52.5
36,100.4,201.1,50.0
37,101.5,199.3,51.6
38,100.6,200.2,50.4
39,101.8,198.9,52.1
40,100.2,201.3,49.8
41,101.6,199.0,51.5
42,100.9,200.3,50.6
43,101.0,199.9,51.0
44,100.7,200.0,50.5
45,102.1,198.0,52.3
46,100.3,200.9,50.1
47,101.4,199.4,51.4
48,100.8,200.1,50.5
49,101.7,199.1,51.9
50,200.0,50.0,150.1
